fpga_trigger_id,fpga_tick,has_scope,scope_file_idx,scope_seg_idx,has_digi,digi_evnum,digi_tt_raw,digi_is_1hz,dt_ns
0,7298381433,0,-1,-1,1,36,4276358772,0,-53.542537689208984
1,7299873905,0,-1,-1,1,37,4277233259,0,-60.68768501281738
2,7299957392,0,-1,-1,1,38,4277282177,0,-58.51943492889404
3,7300038135,0,-1,-1,1,39,4277329487,0,-58.0684757232666
4,7300492080,0,-1,-1,1,40,4277595468,0,-59.133543968200684
5,7300640860,0,-1,-1,1,41,4277682643,0,-59.44135665893555
6,7300649417,0,-1,-1,0,-1,-1,-1,nan
7,7300833006,0,-1,-1,1,42,4277795228,0,-55.89567184448242
8,7301167540,0,-1,-1,1,43,4277991241,0,-67.33112335205078
9,7301297772,0,-1,-1,1,44,4278067549,0,-60.16494274139404
10,7301486635,0,-1,-1,1,45,4278178211,0,-51.35953426361084
11,7301518229,0,-1,-1,0,-1,-1,-1,nan
12,7301758002,0,-1,-1,1,46,4278337213,0,-57.69469738006592
13,7302029056,0,-1,-1,1,47,4278496032,0,-60.643205642700195
14,7302257156,0,-1,-1,1,48,4278629683,0,-62.360897064208984
15,7302487943,0,-1,-1,1,49,4278764909,0,-58.96369934082031
16,7302657963,0,-1,-1,1,50,4278864529,0,-61.03039264678955
17,7302706316,0,-1,-1,1,51,4278892861,0,-57.56375789642334
18,7303086959,0,-1,-1,1,52,4279115892,0,-58.42841625213623
19,7303664102,0,-1,-1,1,53,4279454059,0,-57.02798366546631
20,7303994731,0,-1,-1,1,54,4279647785,0,-59.3635892868042
21,7304347332,0,-1,-1,1,55,4279854386,0,-54.093379974365234
22,7304692056,0,-1,-1,1,56,4280056370,0,-62.5599479675293
23,7304963158,0,-1,-1,1,57,4280215218,0,-58.039679527282715
24,7305132959,0,-1,-1,1,58,4280314709,0,-65.91578483581543
25,7306326771,0,-1,-1,1,59,4281014203,0,-59.42554473876953
26,7306590661,0,-1,-1,1,60,4281168824,0,-65.61360359191895
27,7306852779,0,-1,-1,1,61,4281322409,0,-52.410569190979004
28,7307217927,0,-1,-1,1,62,4281536360,0,-61.60422325134277
29,7307289855,0,-1,-1,1,63,4281578505,0,-61.19668483734131
30,7307850460,0,-1,-1,1,64,4281906982,0,-58.503074645996094
31,7307882569,0,-1,-1,0,-1,-1,-1,nan
32,7308332655,0,-1,-1,1,65,4282189516,0,-56.094040870666504
33,7308368163,0,-1,-1,0,-1,-1,-1,nan
34,7309331057,0,-1,-1,1,66,4282774512,0,-57.55568981170654
35,7309937163,0,-1,-1,1,67,4283129649,0,-59.250736236572266
36,7310103151,0,-1,-1,1,68,4283226907,0,-57.22305774688721
37,7310656159,0,-1,-1,1,69,4283550931,0,-68.78759860992432
38,7310697956,0,-1,-1,1,70,4283575422,0,-62.13447093963623
39,7310995604,0,-1,-1,1,71,4283749824,0,-59.01297092437744
40,7311054220,0,-1,-1,1,72,4283784169,0,-59.17438983917236
41,7311528094,0,-1,-1,1,73,4284061827,0,-60.65436363220215
42,7312433464,0,-1,-1,1,74,4284592313,0,-58.09216499328613
43,7313335276,0,-1,-1,1,75,4285120714,0,-57.68205642700195
44,7313454414,0,-1,-1,1,76,4285190520,0,-64.72349166870117
45,7313525347,0,-1,-1,1,77,4285232083,0,-55.75840473175049
46,7314088159,0,-1,-1,1,78,4285561852,0,-62.90388107299805
47,7314245538,0,-1,-1,1,79,4285654066,0,-58.37746620178223
48,7314737155,0,-1,-1,1,80,4285942120,0,-61.56578540802002
49,7315291466,0,-1,-1,1,81,4286266909,0,-60.074520111083984
50,7315772755,0,-1,-1,1,82,4286548912,0,-58.90422344207764
51,7316082869,0,-1,-1,1,83,4286730618,0,-57.78327465057373
52,7316095329,0,-1,-1,0,-1,-1,-1,nan
53,7316255880,0,-1,-1,1,84,4286831990,0,-64.32217597961426
54,7316394724,0,-1,-1,1,85,4286913343,0,-66.12133026123047
55,7316406859,0,-1,-1,0,-1,-1,-1,nan
56,7316630941,0,-1,-1,1,86,4287051751,0,-59.42535877227783
57,7317466673,0,-1,-1,1,87,4287541434,0,-55.43947696685791
58,7317646570,0,-1,-1,1,88,4287646841,0,-59.68405246734619
59,7317787942,0,-1,-1,1,89,4287729676,0,-54.975104331970215
60,7319159630,0,-1,-1,1,90,4288533392,0,-59.815874099731445
61,7319313938,0,-1,-1,1,91,4288623806,0,-60.420756340026855
62,7319485478,0,-1,-1,1,92,4288724317,0,-59.22245979309082
63,7319625203,0,-1,-1,1,93,4288806186,0,-62.78397560119629
64,7319880156,0,-1,-1,1,94,4288955572,0,-56.35389804840088
65,7319962351,0,-1,-1,1,95,4289003732,0,-62.50760555267334
66,7320318148,0,-1,-1,1,96,4289212205,0,-62.700843811035156
67,7320928836,0,-1,-1,1,97,4289570027,0,-62.20003604888916
68,7320942304,0,-1,-1,0,-1,-1,-1,nan
69,7320989792,0,-1,-1,1,98,4289605743,0,-63.06145191192627
70,7321878209,0,-1,-1,1,99,4290126296,0,-57.823801040649414
71,7322069455,0,-1,-1,1,100,4290238353,0,-59.91663455963135
72,7322678774,0,-1,-1,1,101,4290595373,0,-58.20765972137451
73,7322799889,0,-1,-1,1,102,4290666339,0,-51.497817039489746
74,7323148545,0,-1,-1,1,103,4290870626,0,-67.52973079681396
75,7323319530,0,-1,-1,1,104,4290970812,0,-64.68847274780273
76,7323635034,0,-1,-1,1,105,4291155677,0,-56.53709888458252
77,7325348976,0,-1,-1,1,106,4292159931,0,-59.1499137878418
78,7325817563,0,-1,-1,1,107,4292434492,0,-53.58912467956543
79,7327114297,0,-1,-1,1,108,4293194290,0,-58.5667610168457
80,7327684440,0,-1,-1,1,109,4293528355,0,-61.19887828826904
81,7327779615,0,-1,-1,1,110,4293584122,0,-53.73103141784668
82,7327793944,0,-1,-1,0,-1,-1,-1,nan
83,7327872145,0,-1,-1,1,111,4293638337,0,-65.1097297668457
84,7328169155,0,-1,-1,1,112,4293812365,0,-63.48217964172363
85,7328262094,0,-1,-1,1,113,4293866822,0,-54.7765588760376
86,7328628821,0,-1,-1,1,114,4294081699,0,-57.0359992980957
87,7328680449,0,-1,-1,1,115,4294111949,0,-61.496124267578125
88,7328726234,0,-1,-1,1,116,4294138776,0,-60.805935859680176
89,7328971420,0,-1,-1,1,117,4294282439,0,-56.059980392456055
90,7329677072,0,-1,-1,1,118,4294695903,0,-59.767112731933594
91,7329803667,0,-1,-1,1,119,4294770080,0,-52.28971481323242
92,7330418785,0,-1,-1,1,120,4295130497,0,-57.599616050720215
93,7330752238,0,-1,-1,1,121,4295325878,0,-57.147836685180664
94,7331209941,0,-1,-1,1,122,4295594060,0,-66.18568897247314
95,7331601896,0,-1,-1,1,123,4295823720,0,-59.10013675689697
96,7331923513,0,-1,-1,1,124,4296012166,0,-57.82088756561279
97,7333453738,0,-1,-1,1,125,4296908774,0,-62.48578071594238
98,7333762747,0,-1,-1,1,126,4297089833,0,-57.478694915771484
99,7334413119,0,-1,-1,1,127,4297470907,0,-58.21514129638672
100,7334520693,0,-1,-1,1,128,4297533938,0,-59.0841007232666
101,7335156290,0,-1,-1,1,129,4297906355,0,-58.51868152618408
102,7335366455,0,-1,-1,1,130,4298029498,0,-54.26952838897705
103,7335553231,0,-1,-1,1,131,4298138935,0,-63.88680458068848
104,7335723460,0,-1,-1,1,132,4298238678,0,-61.34452819824219
105,7335731602,0,-1,-1,0,-1,-1,-1,nan
106,7336446687,0,-1,-1,1,133,4298662441,0,-54.500417709350586
107,7337739653,0,-1,-1,1,134,4299420032,0,-52.70570755004883
108,7337943365,0,-1,-1,1,135,4299539392,0,-65.33249855041504
109,7337954065,0,-1,-1,0,-1,-1,-1,nan
110,7338817751,0,-1,-1,1,136,4300051723,0,-66.76126003265381
111,7339082526,0,-1,-1,1,137,4300206864,0,-60.5780553817749
112,7340476913,0,-1,-1,1,138,4301023881,0,-57.58193492889404
113,7341218922,0,-1,-1,1,139,4301458648,0,-59.13515567779541
114,7341233132,0,-1,-1,0,-1,-1,-1,nan
115,7342758212,0,-1,-1,1,140,4302360568,0,-59.34590816497803
116,7343416051,0,-1,-1,1,141,4302746018,0,-52.896485328674316
117,7343986265,0,-1,-1,1,142,4303080125,0,-52.125535011291504
118,7344439225,0,-1,-1,1,143,4303345528,0,-60.49942970275879
119,7345841201,0,-1,-1,1,144,4304166991,0,-62.97900199890137
120,7346192005,0,-1,-1,1,145,4304372539,0,-58.38560104370117
121,7347111294,0,-1,-1,1,146,4304911180,0,-60.89521884918213
122,7347214004,0,-1,-1,1,147,4304971361,0,-61.97206974029541
123,7347331194,0,-1,-1,1,148,4305040027,0,-57.09665775299072
124,7347577080,0,-1,-1,1,149,4305184099,0,-62.187538146972656
125,7349410940,0,-1,-1,1,150,4306258618,0,-55.0083065032959
126,7349728008,0,-1,-1,1,151,4306444398,0,-58.79018783569336
127,7349916203,0,-1,-1,1,152,4306554668,0,-55.080037117004395
128,7350179566,0,-1,-1,1,153,4306708981,0,-54.557228088378906
129,7350264690,0,-1,-1,1,154,4306758857,0,-62.38576412200928
130,7350508525,0,-1,-1,1,155,4306901729,0,-52.56417274475098
131,7351137571,0,-1,-1,1,156,4307270307,0,-56.745452880859375
132,7351390792,0,-1,-1,1,157,4307418678,0,-51.72274589538574
133,7353017401,0,-1,-1,1,158,4308371760,0,-60.80156326293945
134,7354158902,0,-1,-1,1,159,4309040603,0,-56.74711227416992
135,7355704711,0,-1,-1,1,160,4309946343,0,-54.3458890914917
136,7355941956,0,-1,-1,1,161,4310085351,0,-67.60615348815918
137,7356108413,0,-1,-1,1,162,4310182884,0,-63.89174938201904
138,7356434656,0,-1,-1,1,163,4310374041,0,-58.548078536987305
139,7356561591,0,-1,-1,1,164,4310448416,0,-61.456236839294434
140,7356854181,0,-1,-1,1,165,4310619854,0,-61.35093688964844
141,7357438764,0,-1,-1,1,166,4310962381,0,-54.29913520812988
142,7357586247,0,-1,-1,1,167,4311048796,0,-54.995718002319336
143,7357684964,0,-1,-1,1,168,4311106637,0,-59.24325942993164
144,7357758132,0,-1,-1,1,169,4311149508,0,-63.582763671875
145,7357862718,0,-1,-1,1,170,4311210789,0,-57.91270732879639
146,7358175967,0,-1,-1,1,171,4311394332,0,-55.92442989349365
147,7359092862,0,-1,-1,1,172,4311931570,0,-60.80305099487305
148,7360976891,0,-1,-1,1,173,4313035485,0,-50.61290740966797
149,7361261248,0,-1,-1,1,174,4313202098,0,-59.19289588928223
150,7361679202,0,-1,-1,1,175,4313446991,0,-57.729530334472656
151,7361857234,0,-1,-1,1,176,4313551306,0,-55.453758239746094
152,7362183678,0,-1,-1,1,177,4313742580,0,-56.701555252075195
153,7363172066,0,-1,-1,1,178,4314321709,0,-53.657827377319336
154,7363516125,0,-1,-1,1,179,4314523304,0,-56.619439125061035
155,7364125276,0,-1,-1,1,180,4314880225,0,-59.71768856048584
156,7366824827,0,-1,-1,1,181,4316461980,0,-56.67219638824463
157,7367398125,0,-1,-1,1,182,4316797894,0,-56.036105155944824
158,7367415296,0,-1,-1,0,-1,-1,-1,nan
159,7367443442,0,-1,-1,1,183,4316824447,0,-53.49923610687256
160,7367856015,0,-1,-1,1,184,4317066186,0,-61.399269104003906
161,7368613713,0,-1,-1,1,185,4317510146,0,-60.34858226776123
162,7369042822,0,-1,-1,1,186,4317761575,0,-59.54179286956787
163,7369255389,0,-1,-1,1,187,4317886125,0,-58.79000663757324
164,7369432288,0,-1,-1,1,188,4317989776,0,-57.69599914550781
165,7369659081,0,-1,-1,1,189,4318122661,0,-61.00289821624756
166,7369689313,0,-1,-1,0,-1,-1,-1,nan
